i,local_time,ok,status,latency_ms,error
416,2026-05-16T22:21:33.632,1,200,234.904,
417,2026-05-16T22:21:33.927,1,200,240.786,
418,2026-05-16T22:21:34.237,1,200,243.985,
419,2026-05-16T22:21:34.536,1,200,238.995,
420,2026-05-16T22:21:34.830,1,200,243.192,
421,2026-05-16T22:21:35.134,1,200,239.939,
422,2026-05-16T22:21:35.436,1,200,237.106,
423,2026-05-16T22:21:35.723,1,200,237.17,
424,2026-05-16T22:21:36.007,1,200,232.934,
425,2026-05-16T22:21:36.305,1,200,240.606,
426,2026-05-16T22:21:36.605,1,200,237.357,
427,2026-05-16T22:21:36.895,1,200,235.662,
428,2026-05-16T22:21:37.185,1,200,236.312,
429,2026-05-16T22:21:37.484,1,200,248.239,
430,2026-05-16T22:21:37.782,1,200,242.848,
431,2026-05-16T22:21:38.104,1,200,258.691,
432,2026-05-16T22:21:38.409,1,200,245.241,
433,2026-05-16T22:21:38.711,1,200,241.678,
434,2026-05-16T22:21:39.011,1,200,237.376,
435,2026-05-16T22:21:39.299,1,200,235.628,
436,2026-05-16T22:21:39.590,1,200,238.84,
437,2026-05-16T22:21:40.076,1,200,433.823,
438,2026-05-16T22:21:40.377,1,200,246.947,
439,2026-05-16T22:21:40.683,1,200,248.325,
440,2026-05-16T22:21:40.981,1,200,243.35,
441,2026-05-16T22:21:41.299,1,200,258.174,
442,2026-05-16T22:21:41.605,1,200,245.839,
443,2026-05-16T22:21:41.904,1,200,241.517,
444,2026-05-16T22:21:42.203,1,200,248.187,
445,2026-05-16T22:21:42.512,1,200,249.474,
446,2026-05-16T22:21:42.820,1,200,253.772,
447,2026-05-16T22:21:43.117,1,200,244.678,
448,2026-05-16T22:21:43.414,1,200,236.446,
449,2026-05-16T22:21:43.717,1,200,250.666,
450,2026-05-16T22:21:44.023,1,200,250.745,
451,2026-05-16T22:21:44.318,1,200,239.041,
452,2026-05-16T22:21:44.613,1,200,243.421,
453,2026-05-16T22:21:44.931,1,200,256.26,
454,2026-05-16T22:21:45.234,1,200,238.986,
455,2026-05-16T22:21:45.523,1,200,238.478,
456,2026-05-16T22:21:45.825,1,200,237.55,
457,2026-05-16T22:21:46.123,1,200,244.328,
458,2026-05-16T22:21:46.428,1,200,243.203,
459,2026-05-16T22:21:46.734,1,200,241.208,
460,2026-05-16T22:21:47.042,1,200,244.78,
