i,local_time,ok,status,latency_ms,error
173,2026-05-16T22:22:53.954,1,200,236.948,
174,2026-05-16T22:22:54.254,1,200,246.417,
175,2026-05-16T22:22:54.568,1,200,253.151,
176,2026-05-16T22:22:54.858,1,200,238.898,
177,2026-05-16T22:22:55.166,1,200,243.996,
178,2026-05-16T22:22:55.471,1,200,243.207,
179,2026-05-16T22:22:55.773,1,200,240.039,
180,2026-05-16T22:22:56.063,1,200,238.382,
181,2026-05-16T22:22:56.359,1,200,244.633,
182,2026-05-16T22:22:56.652,1,200,235.139,
183,2026-05-16T22:22:56.951,1,200,245.194,
184,2026-05-16T22:22:57.253,1,200,242.22,
185,2026-05-16T22:22:57.563,1,200,245.688,
186,2026-05-16T22:22:57.874,1,200,248.583,
187,2026-05-16T22:22:58.175,1,200,246.165,
188,2026-05-16T22:22:58.482,1,200,248.263,
189,2026-05-16T22:22:58.778,1,200,237.99,
190,2026-05-16T22:22:59.064,1,200,234.918,
191,2026-05-16T22:22:59.357,1,200,236.452,
192,2026-05-16T22:22:59.655,1,200,243.968,
193,2026-05-16T22:22:59.958,1,200,243.372,
194,2026-05-16T22:23:00.262,1,200,243.374,
195,2026-05-16T22:23:00.569,1,200,243.024,
196,2026-05-16T22:23:00.867,1,200,237.965,
197,2026-05-16T22:23:01.158,1,200,239.297,
198,2026-05-16T22:23:01.455,1,200,245.554,
199,2026-05-16T22:23:01.759,1,200,244.207,
200,2026-05-16T22:23:02.070,1,200,250.426,
201,2026-05-16T22:23:02.377,1,200,252.005,
202,2026-05-16T22:23:02.678,1,200,247.31,
203,2026-05-16T22:23:02.979,1,200,243.718,
204,2026-05-16T22:23:03.292,1,200,254.307,
205,2026-05-16T22:23:03.603,1,200,247.695,
206,2026-05-16T22:23:03.914,1,200,253.817,
207,2026-05-16T22:23:04.231,1,200,252.041,
208,2026-05-16T22:23:04.531,1,200,245.733,
209,2026-05-16T22:23:04.830,1,200,240.542,
210,2026-05-16T22:23:05.156,1,200,262.191,
211,2026-05-16T22:23:05.458,1,200,242.901,
212,2026-05-16T22:23:05.766,1,200,245.459,
213,2026-05-16T22:23:06.066,1,200,242.245,
214,2026-05-16T22:23:06.366,1,200,239.192,
215,2026-05-16T22:23:06.656,1,200,237.226,
216,2026-05-16T22:23:06.946,1,200,237.79,
217,2026-05-16T22:23:07.238,1,200,240.306,
218,2026-05-16T22:23:07.542,1,200,241.428,
219,2026-05-16T22:23:07.846,1,200,239.01,
220,2026-05-16T22:23:08.153,1,200,242.403,
221,2026-05-16T22:23:08.452,1,200,236.281,
222,2026-05-16T22:23:08.748,1,200,240.671,
223,2026-05-16T22:23:09.044,1,200,245.206,
224,2026-05-16T22:23:09.338,1,200,235.779,
225,2026-05-16T22:23:09.627,1,200,235.912,
226,2026-05-16T22:23:09.914,1,200,234.74,
227,2026-05-16T22:23:10.204,1,200,235.414,
228,2026-05-16T22:23:10.498,1,200,238.489,
229,2026-05-16T22:23:10.793,1,200,243.494,
230,2026-05-16T22:23:11.098,1,200,244.208,
231,2026-05-16T22:23:11.406,1,200,246.482,
232,2026-05-16T22:23:11.713,1,200,247.28,
233,2026-05-16T22:23:12.010,1,200,238.674,
234,2026-05-16T22:23:12.328,1,200,253.237,
235,2026-05-16T22:23:12.624,1,200,244.901,
236,2026-05-16T22:23:12.931,1,200,247.741,
237,2026-05-16T22:23:13.240,1,200,253.643,
238,2026-05-16T22:23:13.551,1,200,257.866,
239,2026-05-16T22:23:13.873,1,200,259.404,
240,2026-05-16T22:23:14.208,1,200,272.766,
241,2026-05-16T22:23:14.522,1,200,251.51,
242,2026-05-16T22:23:14.834,1,200,257.62,
243,2026-05-16T22:23:15.139,1,200,241.771,
244,2026-05-16T22:23:15.450,1,200,249.725,
245,2026-05-16T22:23:15.743,1,200,238.712,
246,2026-05-16T22:23:16.030,1,200,235.346,
247,2026-05-16T22:23:16.323,1,200,240.257,
248,2026-05-16T22:23:16.630,1,200,242.821,
249,2026-05-16T22:23:16.928,1,200,235.037,
250,2026-05-16T22:23:17.220,1,200,238.967,
251,2026-05-16T22:23:17.550,1,200,278.274,
252,2026-05-16T22:23:17.851,1,200,244.352,
253,2026-05-16T22:23:18.164,1,200,253.667,
254,2026-05-16T22:23:18.479,1,200,251.018,
255,2026-05-16T22:23:18.784,1,200,250.056,
256,2026-05-16T22:23:19.077,1,200,237.968,
257,2026-05-16T22:23:19.364,1,200,236.218,
258,2026-05-16T22:23:19.661,1,200,243.059,
259,2026-05-16T22:23:19.960,1,200,239.653,
260,2026-05-16T22:23:20.246,1,200,235.042,
261,2026-05-16T22:23:20.537,1,200,238.072,
262,2026-05-16T22:23:20.846,1,200,242.582,
263,2026-05-16T22:23:21.151,1,200,244.848,
264,2026-05-16T22:23:21.463,1,200,250.62,
265,2026-05-16T22:23:21.762,1,200,243.936,
266,2026-05-16T22:23:22.067,1,200,243.87,
267,2026-05-16T22:23:22.373,1,200,246.242,
268,2026-05-16T22:23:22.669,1,200,239.917,
269,2026-05-16T22:23:22.984,1,200,250.945,
270,2026-05-16T22:23:23.303,1,200,264.436,
271,2026-05-16T22:23:23.611,1,200,251.413,
272,2026-05-16T22:23:23.914,1,200,247.747,
273,2026-05-16T22:23:24.218,1,200,249.362,
274,2026-05-16T22:23:24.519,1,200,245.724,
275,2026-05-16T22:23:24.835,1,200,258.841,
276,2026-05-16T22:23:25.157,1,200,261.707,
277,2026-05-16T22:23:25.475,1,200,260.597,
